"Developed","Cropland","Grass/ Shrub","Tree Cover","Water","Wetland","Barren"
"Developed",48165.74317,145.4595649,509.1412799,206.2747363,25.21043011,0.82537336,35.37841617
"Cropland",540.3123745,89218.30289,10034.37796,1511.036056,31.09317952,20.46893244,25.2449381
"Grass/ Shrub",2435.451671,6839.204422,651019.1056,33504.19787,122.0936094,37.38252255,1270.336588
"Tree Cover",510.5141953,1574.576775,12909.5874,546155.4577,91.45353287,82.76516174,1014.629488
"Water",32.8193588,58.39028623,107.7476261,109.7685958,61617.79093,40.04870868,45.46752013
"Wetland",1.6434907,34.183523,56.37925673,132.1170325,62.88377788,15506.6973,0.0145941
"Barren",156.3534748,15.60006416,663.7277607,107.3282172,49.76543508,0.05823516,236926.046
